Estimate,Est.Error,lwr0_025,upr0_975,beta
0.00998125392097848,0.9865578903904911,-1.90296690765352,1.9535996797530966,zgp_gpxysiteeldo_3k_1[138]
-7.595213613646771e-4,0.9921156077684128,-1.9790481767029129,1.926875095797664,zgp_gpxysiteeldo_3k_1[139]
0.11198163595954565,0.9891259299144686,-1.8314535713202091,2.0216007919830457,zgp_gpxysiteeldo_3k_1[140]
-0.08173474429897117,1.0093407258909397,-2.154527894812152,1.8963088574884637,zgp_gpxysiteeldo_3k_1[141]
-0.02744143971549056,0.9835962263339707,-1.931174845317115,1.8790898346772407,zgp_gpxysiteeldo_3k_1[142]
0.014886427176127679,0.9867718133311196,-1.9129867138704473,1.9232538463452455,zgp_gpxysiteeldo_3k_1[143]
0.07914160205220326,1.005331462295242,-1.900622274664818,2.0478921349653656,zgp_gpxysiteeldo_3k_1[144]
-0.07246759920681209,0.9749693299588637,-1.9836661519910495,1.8542458151762584,zgp_gpxysiteeldo_3k_1[145]
-0.14719991425047477,0.9807123009897017,-2.078979108518868,1.7538241915470894,zgp_gpxysiteeldo_3k_1[146]
0.004421153365971417,0.9759692973955477,-1.9055692467486525,1.9073246862752355,zgp_gpxysiteeldo_3k_1[147]
0.0017065524825113326,1.023681185159954,-1.9842571092342436,1.9607487792003557,zgp_gpxysiteeldo_3k_1[148]
-0.0492910770705073,0.9876813300478883,-1.9682580878674396,1.9126032620043434,zgp_gpxysiteeldo_3k_1[149]
0.0388184584836587,0.9914671234169257,-1.897107234196649,1.9791390377995604,zgp_gpxysiteeldo_3k_1[150]
-0.2086397660640506,0.9931277225884005,-2.1229573733614022,1.7561409637628425,zgp_gpxysiteeldo_3k_1[151]
-0.0569789879017944,0.9982038643185251,-1.9917090721698096,1.9028739771144283,zgp_gpxysiteeldo_3k_1[152]
-0.17213181840128713,0.970009213795643,-2.0481241364299945,1.7181010984007514,zgp_gpxysiteeldo_3k_1[153]
0.015921297285048094,1.0041299767772018,-1.9368999228970911,2.017986768847301,zgp_gpxysiteeldo_3k_1[154]
0.024220523210876775,0.9826622045951757,-1.9048923996272362,1.9268381127455982,zgp_gpxysiteeldo_3k_1[155]
0.10180111062461733,0.9914988464415156,-1.8174832616136702,2.051970758844815,zgp_gpxysiteeldo_3k_1[156]
0.026809425102051858,1.003787294916705,-1.9720689686002413,2.0115929475402443,zgp_gpxysiteeldo_3k_1[157]
-0.029832632030832598,0.9969576378833775,-1.9834212273476124,1.9515562850063337,zgp_gpxysiteeldo_3k_1[158]
-0.012337899187203476,0.9858074436161497,-1.9635069427316607,1.8887708864884651,zgp_gpxysiteeldo_3k_1[159]
-6.338967609117947e-4,0.9979721397541437,-1.9475769588839995,1.9614544376763592,zgp_gpxysiteeldo_3k_1[160]
0.016869508472180314,1.0247917330310257,-1.9882700611301922,2.002280350580574,zgp_gpxysiteeldo_3k_1[161]
-0.5319870673118428,0.9709296313902636,-2.3849995973681652,1.4195328749412988,zgp_gpxysiteeldo_3k_1[162]
-0.025682703128505163,1.0029077498537127,-1.9841170110978434,1.9457101294795738,zgp_gpxysiteeldo_3k_1[163]
-0.02313758489544157,0.9887769949758607,-1.9603082196138744,1.9036131728204932,zgp_gpxysiteeldo_3k_1[164]
0.029815937714498104,1.0161521277752368,-1.9900204580725966,2.024059213515652,zgp_gpxysiteeldo_3k_1[165]
